datetime,open,high,low,close,Currency pair,interval,currency_base,currency_qoute, type
27-08-2021 13:30,,1.1744,1.174,1.1742,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 13:25,,1.17445,,1.17445,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 13:20,,1.17435,1.1735,1.17405,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 13:15,,,1.1735,1.1737,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 13:10,,1.17455,,1.1737,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 13:05,,1.17525,1.1744,1.1744,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 13:00,,1.17575,1.1751,1.17515,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 12:55,,1.17605,1.1756,1.1756,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 12:50,,1.17605,1.17555,1.176,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 12:45,1.17585,1.176,1.17535,1.17565,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 12:40,,1.1762,1.17575,1.1758,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 12:35,1.17645,1.17645,1.176,1.1762,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 12:30,1.176,1.1765,,1.1765,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 12:25,1.17615,1.17625,1.17575,1.1758,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 12:20,1.17635,1.17635,1.17605,1.17615,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 12:15,1.17605,1.17635,1.17605,1.17635,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 12:10,1.17605,1.17645,,1.17615,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 12:05,1.17615,1.17625,1.17595,1.176,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 12:00,1.17635,1.17635,1.17605,1.17625,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 11:55,1.17615,1.1765,,1.1763,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 11:50,1.17635,1.17645,1.176,1.17615,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 11:45,1.17645,,1.17615,1.17645,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 11:40,1.1766,1.17675,1.1764,1.1764,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 11:35,,1.17675,1.17615,1.17675,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 11:30,1.17585,1.1762,,1.1762,EUR/USD,5min,Euro,US Dollar,Physical
27-08-2021 13:58,1.1772,1.1772,1.17705,1.17705,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:57,1.1771,1.17725,1.17695,1.17695,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:56,1.1771,1.1773,1.17695,1.1772,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:55,1.1773,1.1774,,1.1772,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:54,,1.17735,1.17705,1.17735,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:53,1.177,1.17715,1.1769,1.17715,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:52,1.1769,1.1772,1.17675,1.17685,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:51,,1.17675,1.1764,1.17675,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:50,1.17615,1.1765,1.17615,1.17645,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:49,1.176,1.17665,1.1755,1.1762,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:48,,1.17555,1.17455,1.17555,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:47,1.17445,1.17445,1.1744,1.1744,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:46,,1.17465,,1.1745,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:45,1.1742,1.17445,1.1742,1.1744,EUR/USD,1min,Euro,US Dollar,Physical
27-08-2021 13:44,1.1743,1.17445,1.1742,1.17425,EUR/USD,1min,Euro,US Dollar,Physical
